year,month,gross_sales_amount
2019,9,4496259.6724
2019,10,5135902.3467
2019,11,7522892.5608
2019,12,4830404.7285
2020,1,4740600.1605
2020,2,3996227.7661
2020,3,378770.9700
2020,4,395035.3535
2020,5,783813.4238
2020,6,1695216.6008
2020,7,2551159.1584
2020,8,2786648.2601
2020,9,12353509.7938
2020,10,13218636.1966
2020,11,20464999.0997
2020,12,12944659.6509
2021,1,12399392.9788
2021,2,10129735.5675
2021,3,12144061.2501
2021,4,7311999.9547
2021,5,12150225.0139
2021,6,9824521.0110
2021,7,12092346.3245
2021,8,7178707.5902
